Rk,Player,Pos,Squad,Age,Min,90s,Gls/90,Ast/90,xA/90,npxG/90,KP,CrsPA,Prog
313,Max Meyer\Max-Meyer,MFFW,Crystal Palace,22,1416,15.7,0.06,0.13,0.08,0.15,23,2,49
314,Luka Milivojević\Luka-Milivojevic,MF,Crystal Palace,27,3420,38,0.32,0.05,0.09,0.07,63,8,179
315,James Milner\James-Milner,MFDF,Liverpool,32,1789,19.9,0.25,0.2,0.28,0.09,48,8,150
316,Yerry Mina\Yerry-Mina,DF,Everton,23,892,9.9,0.1,0,0.01,0.05,3,0,29
317,Tyrone Mings\Tyrone-Mings,DF,Bournemouth,25,143,1.6,0,0,0.07,0,1,0,5
318,Aleksandar Mitrović\Aleksandar-Mitrovic,FW,Fulham,23,3280,36.4,0.3,0.08,0.06,0.34,24,0,61
319,Henrikh Mkhitaryan\Henrikh-Mkhitaryan,FWMF,Arsenal,29,1641,18.2,0.33,0.22,0.25,0.26,27,3,91
320,Nacho Monreal\Nacho-Monreal,DF,Arsenal,32,1861,20.7,0.05,0.15,0.07,0.05,10,4,72
321,Martín Montoya\Martin-Montoya,DF,Brighton,27,2167,24.1,0,0.04,0.04,0.01,18,14,78
322,Aaron Mooy\Aaron-Mooy,MFFW,Huddersfield,27,2330,25.9,0.12,0.04,0.11,0.07,41,10,118
323,Álvaro Morata\Alvaro-Morata,FW,Chelsea,25,941,10.5,0.48,0,0.02,0.62,6,0,4
324,Alberto Moreno\Alberto-Moreno,DF,Liverpool,26,154,1.7,0,0,0.12,0.01,3,1,12
325,Wes Morgan\Wes-Morgan,DF,Leicester City,34,1925,21.4,0.14,0,0.01,0.09,2,0,29
326,Sean Morrison\Sean-Morrison,DF,Cardiff City,27,3039,33.8,0.03,0.09,0.07,0.12,18,1,51
327,Victor Moses\Victor-Moses,FW,Chelsea,27,28,0.3,0,0,0,0,0,0,1
328,Steve Mounié\Steve-Mounie,FW,Huddersfield,23,1778,19.8,0.1,0.15,0.09,0.27,17,0,31
329,Lucas Moura\Lucas-Moura,FWMF,Tottenham,25,2121,23.6,0.42,0,0.09,0.23,27,2,55
330,Lys Mousset\Lys-Mousset,FWMF,Bournemouth,22,368,4.1,0.24,0,0.11,0.39,4,0,10
331,João Moutinho\Joao-Moutinho,MF,Wolves,31,3032,33.7,0.03,0.24,0.18,0.02,81,14,186
332,Jacob Murphy\Jacob-Murphy,MFDF,Newcastle Utd,23,302,3.4,0,0.3,0.13,0.02,2,2,4
333,Josh Murphy\Josh-Murphy,MFFW,Cardiff City,23,1817,20.2,0.15,0.1,0.14,0.16,14,5,25
334,Glenn Murray\Glenn-Murray,FW,Brighton,34,2508,27.9,0.47,0.04,0.03,0.26,11,3,34
335,Shkodran Mustafi\Shkodran-Mustafi,DF,Arsenal,26,2611,29,0.07,0,0.02,0.05,6,0,99
336,Yoshinori Mutō\Yoshinori-Muto,FWMF,Newcastle Utd,26,524,5.8,0.17,0,0.05,0.17,2,0,7
337,Georges-Kévin N'Koudou\Georges-Kevin-NKoudou,FW,Tottenham,23,5,0.1,0,18,4.2,0,1,1,0
338,Samir Nasri\Samir-Nasri,MF,West Ham,31,245,2.7,0,0.73,0.28,0.08,6,1,12
339,Marc Navarro\Marc-Navarro,DF,Watford,23,84,0.9,0,0,0,0,0,0,0
340,Wilfred Ndidi\Wilfred-Ndidi,MF,Leicester City,21,3296,36.6,0.05,0,0.04,0.09,22,0,144
341,Rúben Neves\Ruben-Neves,MF,Wolves,21,3007,33.4,0.12,0.09,0.05,0.06,21,3,165
342,Oumar Niasse\Oumar-Niasse,FW,Everton,28,63,0.7,0,0,0.22,0.82,1,0,3
343,Oumar Niasse\Oumar-Niasse,FW,Cardiff City,28,931,10.3,0,0,0.04,0.28,1,0,3
344,Eddie Nketiah\Eddie-Nketiah,MFFW,Arsenal,19,67,0.7,1.34,0,0.16,0.27,1,0,2
345,Mark Noble\Mark-Noble,MF,West Ham,31,2291,25.5,0.2,0.2,0.09,0.03,21,5,144
346,Håvard Nordtveit\Havard-Nordtveit,DF,Fulham,28,362,4,0,0.25,0.05,0,3,0,6
347,Will Norris\Will-Norris,GK,Wolves,24,1,0,0,0,0,0,0,0,0
348,Michael Obafemi\Michael-Obafemi,FWMF,Southampton,18,137,1.5,0.66,0.66,0.15,1.17,2,1,2
349,Pedro Obiang\Pedro-Obiang,MF,West Ham,26,1128,12.5,0,0.08,0.05,0.05,4,1,47
350,Denis Odoi\Denis-Odoi,DF,Fulham,30,2594,28.8,0,0.03,0.03,0.03,11,2,78
351,Angelo Ogbonna\Angelo-Ogbonna,DF,West Ham,30,1874,20.8,0.05,0.05,0.02,0.06,4,0,29
352,Stefano Okaka\Stefano-Okaka,FW,Watford,28,24,0.3,0,0,1.21,1.31,2,1,0
353,Shinji Okazaki\Shinji-Okazaki,FWMF,Leicester City,32,288,3.2,0,0.31,0.08,0.08,2,0,6
354,Divock Origi\Divock-Origi,FW,Liverpool,23,371,4.1,0.73,0.24,0.04,0.51,3,2,7
355,Nicolás Otamendi\Nicolas-Otamendi,DF,Manchester City,30,1236,13.7,0,0,0.01,0.1,2,0,48
356,Alex Oxlade-Chamberlain\Alex-Oxlade-Chamberlain,MFFW,Liverpool,24,21,0.2,0,0,0.1,1.29,1,0,6
357,Mesut Özil\Mesut-Ozil,MFFW,Arsenal,29,1735,19.3,0.26,0.1,0.3,0.09,47,11,124
358,Emerson Palmieri\Emerson-Palmieri,DF,Chelsea,23,663,7.4,0,0,0.08,0.03,4,3,31
359,Sokratis Papastathopoulos\Sokratis-Papastathopoulos,DF,Arsenal,30,2198,24.4,0.04,0.08,0.02,0.04,4,0,37
360,Callum Paterson\Callum-Paterson,FWMF,Cardiff City,23,1998,22.2,0.18,0.05,0.08,0.24,19,2,65
361,Rui Patrício\Rui-Patricio,GK,Wolves,30,3329,37,0,0,0,0,0,0,0
362,Pedro\Pedro,FW,Chelsea,31,1778,19.8,0.4,0.1,0.14,0.33,27,8,67
363,Lee Peltier\Lee-Peltier,DF,Cardiff City,31,1544,17.2,0,0,0,0,2,1,20
364,Andreas Pereira\Andreas-Pereira,MF,Manchester Utd,22,599,6.7,0.15,0.15,0.12,0.04,10,3,32
365,Ricardo Pereira\Ricardo-Pereira,DFFW,Leicester City,24,3123,34.7,0.06,0.17,0.13,0.04,34,6,154
366,Roberto Pereyra\Roberto-Pereyra,MFFW,Watford,27,2815,31.3,0.19,0.03,0.11,0.18,37,4,107
367,Ayoze Pérez\Ayoze-Perez,MFFW,Newcastle Utd,25,2917,32.4,0.37,0.06,0.11,0.24,39,4,63
368,Lucas Pérez\Lucas-Perez,FW,West Ham,29,475,5.3,0.57,0,0.15,0.39,7,0,6
369,Jordan Pickford\Jordan-Pickford,GK,Everton,24,3420,38,0,0,0,0,1,0,0
370,Paul Pogba\Paul-Pogba,MF,Manchester Utd,25,3006,33.4,0.39,0.27,0.15,0.2,50,8,262
371,Alex Pritchard\Alex-Pritchard,MFFW,Huddersfield,25,2081,23.1,0.09,0,0.09,0.15,34,7,66
372,Sebastian Prödl\Sebastian-Prodl,DF,Watford,31,13,0.1,0,0,0,0,0,0,0
373,Davy Pröpper\Davy-Propper,MF,Brighton,26,2546,28.3,0.04,0.04,0.04,0.04,20,2,127
374,Jason Puncheon\Jason-Puncheon,MF,Crystal Palace,32,13,0.1,0,0,0,0,0,0,0
375,Jason Puncheon\Jason-Puncheon,MFFW,Huddersfield,32,382,4.2,0,0,0.19,0.16,0,0,0
376,Collin Quaner\Collin-Quaner,FWMF,Huddersfield,27,39,0.4,0,0,0.22,0,1,0,3
377,Domingos Quina\Domingos-Quina,MF,Watford,18,338,3.8,0.27,0,0.04,0.06,1,1,13
378,Joe Ralls\Joe-Ralls,MF,Cardiff City,24,1959,21.8,0,0,0.09,0.03,28,5,97
379,Aaron Ramsey\Aaron-Ramsey,MF,Arsenal,27,1331,14.8,0.27,0.41,0.15,0.22,25,4,63
380,Kayne Ramsey\Kayne-Ramsey,DF,Southampton,17,90,1,0,0,0,0,0,0,0
381,Marcus Rashford\Marcus-Rashford,FW,Manchester Utd,20,2334,25.9,0.39,0.23,0.16,0.36,38,3,60
382,Tim Ream\Tim-Ream,DF,Fulham,30,2047,22.7,0,0,0.01,0,3,0,66
383,Nathan Redmond\Nathan-Redmond,FWMF,Southampton,24,3270,36.3,0.17,0.11,0.14,0.18,54,21,90
384,Bobby Reid\Bobby-Reid,MFFW,Cardiff City,25,1424,15.8,0.32,0.13,0.06,0.23,14,1,19
385,Declan Rice\Declan-Rice,MF,West Ham,19,3003,33.4,0.06,0,0.01,0.04,9,0,78
386,Jazz Richards\Jazz-Richards,DFMF,Cardiff City,27,132,1.5,0,0,0,0,0,0,2
387,Richarlison\Richarlison,FWMF,Everton,21,2665,29.6,0.44,0.03,0.05,0.3,19,2,66
388,Diego Rico\Diego-Rico,DF,Bournemouth,25,612,6.8,0,0,0.15,0.03,11,8,34
389,Sergio Rico\Sergio-Rico,GK,Fulham,24,2610,29,0,0,0.01,0,2,0,0
390,Matt Ritchie\Matt-Ritchie,DFMF,Newcastle Utd,28,2928,32.5,0.06,0.25,0.16,0.1,55,29,91
391,Andrew Robertson\Andrew-Robertson,DF,Liverpool,24,3216,35.7,0,0.31,0.19,0.02,51,18,243
392,Marcos Rojo\Marcos-Rojo,DF,Manchester Utd,28,212,2.4,0,0,0,0.11,0,0,8
393,Oriol Romeu\Oriol-Romeu,MF,Southampton,26,2136,23.7,0.04,0,0.01,0.03,7,2,126
394,Salomón Rondón\Salomon-Rondon,FW,Newcastle Utd,28,2603,28.9,0.38,0.24,0.12,0.38,30,3,52
395,Danny Rose\Danny-Rose,DFMF,Tottenham,28,1798,20,0,0.15,0.11,0.05,26,16,92
396,Aaron Rowe\Aaron-Rowe,FW,Huddersfield,17,69,0.8,0,0,0,0,0,0,1
397,John Ruddy\John-Ruddy,GK,Wolves,31,90,1,0,0,0,0,0,0,0
398,Antonio Rüdiger\Antonio-Rudiger,DF,Chelsea,25,2871,31.9,0.03,0,0.01,0.06,4,0,150
399,Mathew Ryan\Mathew-Ryan,GK,Brighton,26,3060,34,0,0,0,0,0,0,0
400,Abdelhamid Sabiri\Abdelhamid-Sabiri,FW,Huddersfield,21,48,0.5,0,0,0,0,0,0,0
401,Romain Saïss\Romain-Saiss,MFDF,Wolves,28,1149,12.8,0.16,0,0.02,0.12,3,2,57
402,Bukayo Saka\Bukayo-Saka,FW,Arsenal,16,8,0.1,0,0,0,0,0,0,0
403,Mamadou Sakho\Mamadou-Sakho,DF,Crystal Palace,28,2416,26.8,0,0,0.01,0.02,6,0,92
404,Bakary Sako\Bakary-Sako,MFFW,Crystal Palace,30,29,0.3,0,0,0,0,0,0,0
405,Mohamed Salah\Mohamed-Salah,FW,Liverpool,26,3250,36.1,0.61,0.22,0.25,0.45,66,7,143
406,Alexis Sánchez\Alexis-Sanchez,FWMF,Manchester Utd,29,880,9.8,0.1,0.31,0.34,0.14,20,5,46
407,Carlos Sánchez\Carlos-Sanchez,MF,West Ham,32,245,2.7,0,0,0.03,0.03,2,0,7
408,Davinson Sánchez\Davinson-Sanchez,DF,Tottenham,22,1942,21.6,0.05,0.05,0,0.07,1,0,51
409,Leroy Sané\Leroy-Sane,FW,Manchester City,22,1867,20.7,0.48,0.48,0.32,0.27,36,0,76
410,Fabian Schär\Fabian-Schar,DF,Newcastle Utd,26,1999,22.2,0.18,0.05,0.03,0.07,11,1,66
411,Christopher Schindler\Christopher-Schindler,DF,Huddersfield,28,3260,36.2,0.03,0,0.01,0.03,2,0,67
412,Jeffrey Schlupp\Jeffrey-Schlupp,MF,Crystal Palace,25,1670,18.6,0.22,0.05,0.08,0.16,17,3,57
413,Kasper Schmeichel\Kasper-Schmeichel,GK,Leicester City,31,3420,38,0,0,0.01,0,1,0,2
414,Morgan Schneiderlin\Morgan-Schneiderlin,MF,Everton,28,834,9.3,0,0.11,0.09,0.01,8,0,27
415,André Schürrle\Andre-Schurrle,FWMF,Fulham,27,1641,18.2,0.33,0,0.08,0.17,20,7,35
416,Ken Sema\Ken-Sema,MFFW,Watford,24,754,8.4,0.12,0.24,0.09,0.13,6,0,16
417,Jean Seri\Jean-Seri,MF,Fulham,27,2244,24.9,0.04,0.08,0.15,0.04,53,5,124
418,Ryan Sessegnon\Ryan-Sessegnon,FWDF,Fulham,18,2300,25.6,0.08,0.23,0.17,0.13,30,4,59
419,Xherdan Shaqiri\Xherdan-Shaqiri,FWMF,Liverpool,26,1064,11.8,0.51,0.25,0.18,0.32,19,6,65
420,Luke Shaw\Luke-Shaw,DF,Manchester Utd,23,2591,28.8,0.03,0.14,0.12,0.04,33,8,174
421,Jonjo Shelvey\Jonjo-Shelvey,MF,Newcastle Utd,26,948,10.5,0.09,0.09,0.12,0.1,23,4,68
422,Gylfi Sigurðsson\Gylfi-Sigurdsson,MF,Everton,28,3117,34.6,0.38,0.17,0.2,0.19,69,8,126
423,Adrien Silva\Adrien-Silva,MF,Leicester City,29,88,1,0,0,0,0,0,0,8
424,Bernardo Silva\Bernardo-Silva,MFFW,Manchester City,23,2854,31.7,0.22,0.22,0.23,0.21,67,6,147
425,David Silva\David-Silva,MF,Manchester City,32,2401,26.7,0.22,0.3,0.35,0.27,73,4,189
426,Xande Silva\Xande-Silva,MF,West Ham,21,18,0.2,0,0,0.13,0.37,1,0,0
427,Danny Simpson\Danny-Simpson,DF,Leicester City,31,292,3.2,0,0,0.01,0,1,0,7
428,Jack Simpson\Jack-Simpson,DF,Bournemouth,21,403,4.5,0,0,0.01,0.03,1,0,10
429,Josh Sims\Josh-Sims,FWMF,Southampton,21,212,2.4,0,0.42,0.22,0.25,2,2,1
430,Moussa Sissoko\Moussa-Sissoko,MF,Tottenham,28,2330,25.9,0,0.12,0.1,0.04,23,3,89
431,Oliver Skipp\Oliver-Skipp,MF,Tottenham,17,220,2.4,0,0,0.01,0.02,1,0,5
432,Callum Slattery\Callum-Slattery,MF,Southampton,19,112,1.2,0,0,0,0.14,0,0,3
433,Chris Smalling\Chris-Smalling,DF,Manchester Utd,28,2127,23.6,0.04,0,0.02,0.04,3,0,34
434,Adam Smith\Adam-Smith,DF,Bournemouth,27,2066,23,0.04,0.04,0.04,0.02,10,3,81
435,Tommy Smith\Tommy-Smith,DF,Huddersfield,26,1141,12.7,0,0,0.03,0,7,4,32
436,Robert Snodgrass\Robert-Snodgrass,MF,West Ham,30,2220,24.7,0.08,0.2,0.2,0.1,62,5,82
437,Cédric Soares\Cedric-Soares,DF,Southampton,26,1495,16.6,0.06,0.12,0.09,0.02,13,10,58
438,Ramadan Sobhi\Ramadan-Sobhi,FWMF,Huddersfield,21,79,0.9,0,0,0.2,0,3,1,5
439,Dominic Solanke\Dominic-Solanke,FW,Bournemouth,20,347,3.9,0,0.26,0.16,0.23,8,0,6
440,Pape Souaré\Pape-Souare,DF,Crystal Palace,28,1,0,0,0,0,0,0,0,0
441,Çağlar Söyüncü\Caglar-Soyuncu,DF,Leicester City,22,372,4.1,0,0,0,0.03,0,1,17
442,Julián Speroni\Julian-Speroni,GK,Crystal Palace,39,90,1,0,0,0,0,0,0,0
